"id","ra [deg]","dec [deg]","redshift","classification","probability","annotation origin","annotation origin key-value pair count","annotation key","annotation value","groups","Saved at","Alias","Origin","TNS"
"170019696475111620","62.4556596103571","-46.32596175683968","","","","","","","","Superphot LSST","2026-02-25T09:56:33","","",""
"313690717350789543","64.58161101334294","-46.527192114323796","","","","","","","","Superphot LSST","2026-02-25T09:56:23","","",""
"313690717562601492","60.786156001369456","-47.568786554409066","","","","","","","","Superphot LSST","2026-02-25T09:56:07","","",""
"170028486213238822","65.11859997803371","-47.747760295498026","","","","","","","","Superphot LSST","2026-02-25T09:55:57","","",""
"313928194426667064","150.6911243092034","2.855995797044679","","","","","","","","Superphot LSST","2026-02-25T09:55:07","","",""
"313888627043598349","151.42035326298338","3.3197756894922383","","","","","","","","Superphot LSST","2026-02-25T09:54:57","","",""
"170019716307877924","149.49761546860591","2.804690056856807","","","","","","","","Superphot LSST","2026-02-25T09:54:46","","",""
"313871013403689120","149.9111095575657","2.987570798787303","","","","","","","","Superphot LSST","2026-02-25T09:54:00","","",""
"313871013171953667","151.20007580588089","2.075036290358911","","","","","","","","Superphot LSST","2026-02-25T09:53:47","","",""
"313893021742531388","148.84085211522287","0.9780874018308833","","","","","","","","Superphot LSST","2026-02-25T09:53:39","","",""
"313853517574963301","149.78812043742857","2.480696194010258","","","","","","","","Superphot LSST","2026-02-25T09:53:27","","",""
"313853517419774035","149.04951173008038","2.4203207339895374","","","","","","","","Superphot LSST","2026-02-25T09:53:22","","",""
"313853517448085571","149.54512900828354","1.6877499292903229","","","","","","","","Superphot LSST","2026-02-25T09:53:01","","",""
"313853533265854510","150.2351770857528","3.2256900676114317","","","","","","","","Superphot LSST","2026-02-25T09:52:55","","",""
"313853517404569719","149.89887420621258","3.2915353213045537","","","","","","","","Superphot LSST","2026-02-25T09:52:48","","",""
"313853517424492644","149.67033129326634","2.325360778767671","","","","","","","","Superphot LSST","2026-02-25T09:52:32","","",""
"313932595758366765","150.82154217917017","1.0537390469807144","","","","","","","","Superphot LSST","2026-02-25T09:52:17","","",""
"313967766160277548","151.3837686632585","1.7279241763371818","","","","","","","","Superphot LSST","2026-02-25T09:51:44","","",""
"313853517494747320","150.65883404822958","0.44315077073504267","","","","","","","","Superphot LSST","2026-02-25T09:51:25","","",""
"314003013998478333","150.89915447061648","0.5891686481235786","","","","","","","","Superphot LSST","2026-02-25T09:51:17","","",""
"170019716456251517","150.76509944591612","2.625761347311305","","","","","","","","Superphot LSST","2026-02-25T09:50:46","","",""
"ZTF25acchxhv","247.2698965","2.5091171","","","","","","","","Superphot ZTF;Superphot LSST","2026-02-25T00:18:32","","",""
